event_id,timestamp,user_id,source_ip,event_type,success,destination_port,protocol,device_id,access_level,required_access_level
evt_0039,2026-09-01T15:51:00,analyst_001,10.0.0.22,api_request,True,443,TCP,device_004,elevated,standard
evt_0052,2026-09-01T16:05:00,user_002,10.0.0.14,login,True,443,TCP,device_002,standard,standard
evt_0026,2026-09-01T16:58:00,admin_001,10.0.0.29,login,True,443,TCP,device_005,admin,standard
evt_0030,2026-09-01T17:05:00,user_001,10.0.0.14,login,True,443,TCP,device_001,standard,standard
evt_0002,2026-09-01T17:27:00,admin_001,10.0.0.23,login,False,443,TCP,device_005,admin,standard
evt_0051,2026-09-01T17:30:00,user_001,10.0.0.43,data_view,True,443,TCP,device_001,standard,standard
evt_0035,2026-09-01T17:35:00,user_003,10.0.0.10,login,True,443,TCP,device_003,standard,standard
evt_0118,2026-09-01T17:38:00,user_003,10.0.0.55,data_view,True,443,TCP,device_003,standard,standard
evt_0080,2026-09-02T08:45:00,user_002,10.0.0.10,api_request,True,443,TCP,device_002,standard,standard
evt_0025,2026-09-02T08:46:00,user_002,10.0.0.26,data_view,True,443,TCP,device_002,standard,standard
evt_0057,2026-09-02T09:00:00,analyst_001,10.0.0.49,api_request,True,443,TCP,device_004,elevated,standard
evt_0006,2026-09-02T09:05:00,user_002,10.0.0.16,api_request,True,443,TCP,device_002,standard,standard
evt_0008,2026-09-02T09:35:00,user_001,10.0.0.50,api_request,True,443,TCP,device_001,standard,standard
evt_0117,2026-09-02T09:36:00,user_002,10.0.0.26,login,True,443,TCP,device_002,standard,standard
evt_0076,2026-09-02T09:49:00,user_003,10.0.0.32,api_request,True,443,TCP,device_003,standard,standard
evt_0090,2026-09-02T09:52:00,admin_001,10.0.0.24,login,True,443,TCP,device_005,admin,standard
evt_0062,2026-09-02T09:56:00,user_002,10.0.0.19,login,True,443,TCP,device_002,standard,standard
evt_0053,2026-09-02T09:56:00,user_002,10.0.0.25,data_view,True,443,TCP,device_002,standard,standard
evt_0112,2026-09-02T10:03:00,user_002,10.0.0.34,api_request,True,443,TCP,device_002,standard,standard
evt_0018,2026-09-02T10:15:00,user_002,10.0.0.45,data_view,True,443,TCP,device_002,standard,standard
evt_0066,2026-09-02T10:40:00,user_001,10.0.0.20,api_request,True,443,TCP,device_001,standard,standard
evt_0075,2026-09-02T11:14:00,user_003,10.0.0.35,login,True,443,TCP,device_003,standard,standard
evt_0100,2026-09-02T11:17:00,admin_001,10.0.0.14,api_request,True,443,TCP,device_005,admin,standard
evt_0004,2026-09-02T11:28:00,admin_001,10.0.0.27,data_view,True,443,TCP,device_005,admin,standard
evt_0088,2026-09-02T11:32:00,analyst_001,10.0.0.60,api_request,True,443,TCP,device_004,elevated,standard
evt_0070,2026-09-02T11:43:00,user_001,10.0.0.32,login,True,443,TCP,device_001,standard,standard
evt_0099,2026-09-02T11:53:00,analyst_001,10.0.0.27,data_view,True,443,TCP,device_004,elevated,standard
evt_0016,2026-09-02T12:04:00,user_003,10.0.0.46,login,True,443,TCP,device_003,standard,standard
evt_0024,2026-09-02T13:07:00,admin_001,10.0.0.37,api_request,True,443,TCP,device_005,admin,standard
evt_0114,2026-09-02T14:16:00,analyst_001,10.0.0.57,login,True,443,TCP,device_004,elevated,standard
evt_0014,2026-09-02T14:17:00,user_002,10.0.0.54,data_view,True,443,TCP,device_002,standard,standard
evt_0083,2026-09-02T14:20:00,admin_001,10.0.0.54,api_request,True,443,TCP,device_005,admin,standard
evt_0109,2026-09-02T14:46:00,analyst_001,10.0.0.18,login,True,443,TCP,device_004,elevated,standard
evt_0092,2026-09-02T14:56:00,user_001,10.0.0.46,data_view,True,443,TCP,device_001,standard,standard
evt_0048,2026-09-02T15:18:00,analyst_001,10.0.0.54,api_request,True,443,TCP,device_004,elevated,standard
evt_0097,2026-09-02T15:39:00,admin_001,10.0.0.42,data_view,True,443,TCP,device_005,admin,standard
evt_0077,2026-09-02T16:21:00,admin_001,10.0.0.26,login,True,443,TCP,device_005,admin,standard
evt_0034,2026-09-02T16:28:00,user_003,10.0.0.14,login,True,443,TCP,device_003,standard,standard
evt_0032,2026-09-02T16:55:00,user_002,10.0.0.37,data_view,True,443,TCP,device_002,standard,standard
evt_0023,2026-09-02T16:55:00,admin_001,10.0.0.17,login,True,443,TCP,device_005,admin,standard
evt_0009,2026-09-02T17:12:00,admin_001,10.0.0.14,data_view,True,443,TCP,device_005,admin,standard
evt_0063,2026-09-02T17:13:00,user_003,10.0.0.31,data_view,True,443,TCP,device_003,standard,standard
evt_0007,2026-09-02T17:16:00,user_003,10.0.0.44,login,True,443,TCP,device_003,standard,standard
evt_0019,2026-09-02T17:27:00,admin_001,10.0.0.35,data_view,True,443,TCP,device_005,admin,standard
evt_0079,2026-09-02T17:32:00,user_003,10.0.0.46,login,True,443,TCP,device_003,standard,standard
evt_0071,2026-09-02T17:47:00,admin_001,10.0.0.25,login,True,443,TCP,device_005,admin,standard
evt_0121,2026-09-02T21:30:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0122,2026-09-02T21:31:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0123,2026-09-02T21:32:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0124,2026-09-02T21:33:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0125,2026-09-02T21:34:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0126,2026-09-02T21:35:00,user_003,203.0.113.50,login,False,443,TCP,device_003,standard,standard
evt_0127,2026-09-03T02:15:00,user_002,198.51.100.77,login,True,443,TCP,device_002,standard,standard
evt_0111,2026-09-03T08:05:00,admin_001,10.0.0.37,data_view,True,443,TCP,device_005,admin,standard
evt_0036,2026-09-03T08:14:00,user_001,10.0.0.31,login,True,443,TCP,device_001,standard,standard
evt_0086,2026-09-03T08:19:00,analyst_001,10.0.0.23,api_request,True,443,TCP,device_004,elevated,standard
evt_0054,2026-09-03T08:39:00,admin_001,10.0.0.47,login,True,443,TCP,device_005,admin,standard
evt_0041,2026-09-03T08:43:00,analyst_001,10.0.0.51,data_view,True,443,TCP,device_004,elevated,standard
evt_0068,2026-09-03T08:53:00,user_002,10.0.0.47,api_request,True,443,TCP,device_002,standard,standard
evt_0105,2026-09-03T08:54:00,analyst_001,10.0.0.34,data_view,True,443,TCP,device_004,elevated,standard
evt_0094,2026-09-03T08:57:00,user_002,10.0.0.24,login,True,443,TCP,device_002,standard,standard
evt_0110,2026-09-03T08:58:00,admin_001,10.0.0.47,api_request,True,443,TCP,device_005,admin,standard
evt_0045,2026-09-03T09:03:00,analyst_001,10.0.0.44,data_view,True,443,TCP,device_004,elevated,standard
evt_0089,2026-09-03T09:18:00,user_002,10.0.0.52,data_view,True,443,TCP,device_002,standard,standard
evt_0084,2026-09-03T10:12:00,user_003,10.0.0.52,api_request,True,443,TCP,device_003,standard,standard
evt_0013,2026-09-03T10:34:00,user_001,10.0.0.25,data_view,True,443,TCP,device_001,standard,standard
evt_0085,2026-09-03T10:39:00,analyst_001,10.0.0.29,data_view,True,443,TCP,device_004,elevated,standard
evt_0038,2026-09-03T10:46:00,user_002,10.0.0.46,data_view,True,443,TCP,device_002,standard,standard
evt_0103,2026-09-03T11:04:00,user_002,10.0.0.36,api_request,True,443,TCP,device_002,standard,standard
evt_0027,2026-09-03T11:09:00,admin_001,10.0.0.58,api_request,True,443,TCP,device_005,admin,standard
evt_0037,2026-09-03T11:17:00,user_001,10.0.0.41,data_view,True,443,TCP,device_001,standard,standard
evt_0073,2026-09-03T11:17:00,analyst_001,10.0.0.16,login,True,443,TCP,device_004,elevated,standard
evt_0081,2026-09-03T11:23:00,admin_001,10.0.0.14,api_request,True,443,TCP,device_005,admin,standard
evt_0033,2026-09-03T11:45:00,user_002,10.0.0.35,api_request,True,443,TCP,device_002,standard,standard
evt_0010,2026-09-03T11:49:00,user_001,10.0.0.15,api_request,True,443,TCP,device_001,standard,standard
evt_0078,2026-09-03T12:02:00,user_002,10.0.0.32,login,True,443,TCP,device_002,standard,standard
evt_0064,2026-09-03T12:32:00,user_002,10.0.0.26,api_request,True,443,TCP,device_002,standard,standard
evt_0060,2026-09-03T12:39:00,analyst_001,10.0.0.43,data_view,True,443,TCP,device_004,elevated,standard
evt_0082,2026-09-03T13:42:00,user_003,10.0.0.29,login,True,443,TCP,device_003,standard,standard
evt_0055,2026-09-03T13:59:00,admin_001,10.0.0.23,api_request,True,443,TCP,device_005,admin,standard
evt_0128,2026-09-03T14:00:00,user_001,10.0.0.25,admin_action,False,443,TCP,device_001,standard,admin
evt_0120,2026-09-03T14:25:00,user_003,10.0.0.22,data_view,True,443,TCP,device_003,standard,standard
evt_0093,2026-09-03T14:31:00,user_002,10.0.0.25,api_request,True,443,TCP,device_002,standard,standard
evt_0067,2026-09-03T14:35:00,analyst_001,10.0.0.54,login,True,443,TCP,device_004,elevated,standard
evt_0049,2026-09-03T15:09:00,admin_001,10.0.0.13,login,True,443,TCP,device_005,admin,standard
evt_0104,2026-09-03T15:26:00,user_003,10.0.0.36,login,True,443,TCP,device_003,standard,standard
evt_0129,2026-09-03T15:30:00,analyst_001,10.0.0.30,network_connection,True,23,TCP,device_004,elevated,standard
evt_0098,2026-09-03T15:57:00,analyst_001,10.0.0.40,login,True,443,TCP,device_004,elevated,standard
evt_0050,2026-09-03T16:03:00,admin_001,10.0.0.30,data_view,True,443,TCP,device_005,admin,standard
evt_0061,2026-09-03T16:19:00,user_001,10.0.0.16,data_view,True,443,TCP,device_001,standard,standard
evt_0095,2026-09-03T16:29:00,user_002,10.0.0.17,login,True,443,TCP,device_002,standard,standard
evt_0107,2026-09-03T16:51:00,admin_001,10.0.0.24,data_view,True,443,TCP,device_005,admin,standard
evt_0028,2026-09-03T16:58:00,user_002,10.0.0.41,login,True,443,TCP,device_002,standard,standard
evt_0003,2026-09-03T17:01:00,user_002,10.0.0.22,data_view,True,443,TCP,device_002,standard,standard
evt_0087,2026-09-03T17:41:00,analyst_001,10.0.0.39,api_request,True,443,TCP,device_004,elevated,standard
